run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,impact_valid
2758,1111.44,-2335.79,2852,0.849726,0.994878,0.985944,0.987945,0.96589,0.0454817,-0.0155127,1
2759,8727.91,29536.9,-10541.9,1.15009,1.02037,0.97899,1.03238,1.25823,-0.0297381,-0.00218329,1
2760,105269,120198,-61324.5,1.38819,1.01199,1.00663,1.00161,1.14304,0.00394434,0.00215635,1
2761,660.95,1756.16,-1561.5,0.949215,0.977265,0.998434,0.976323,0.960738,-0.187244,-0.00619365,1
2762,6297.82,-7891.33,20302.7,1.02703,1.00091,0.995022,0.99361,1.13299,-0.212739,0.000633773,1
2763,9211.32,36363.6,-11898.9,1.18298,0.999819,0.979082,1.05523,0.908276,0.146758,0.000411159,1
2764,1942.23,-3403.23,4800.05,0.926281,0.994045,0.981414,0.975156,0.922829,-0.138977,0.00284212,1
2765,880.621,-1993.32,2334.75,1.06539,0.988088,0.976246,0.955661,1.12972,-0.0464981,0.0193133,1
2766,606.764,1619.5,-1454.48,1.02586,0.978384,1.0024,0.967176,1.15374,0.0606162,0.0205668,1
2767,15635.8,-20641.3,63607.9,1.16488,0.994461,1.00131,1.00756,1.15546,-0.0522965,0.000910571,1
2768,576.648,-1370.64,1517.86,1.3567,1.01086,0.99215,1.00459,1.00805,-0.229668,0.00596971,1
2769,1215.73,-2552.2,3208.02,1.21338,0.991527,0.996857,0.99512,1.28152,-0.0610137,0.010311,1
2770,475.762,-1141.27,1240.64,0.89858,1.01789,0.993303,1.03813,0.719628,-0.156265,0.0107408,1
2771,3385.27,-4613.36,8965.26,1.09061,1.00252,1.006,0.936451,1.24699,-0.0358913,0.00597717,1
2772,18876.7,88405.5,-28726.1,1.21206,0.98401,1.00918,1.02103,0.941378,-0.0421954,-0.00100587,1
2773,1855.21,-3694.28,5258.96,1.44232,1.03388,1.0152,1.00476,1.27964,-0.0239443,0.0172846,1
2774,8261.89,-7447.16,19513.1,1.18491,1.00296,0.992885,0.985338,1.02522,0.0130981,-0.00561728,1
2775,6115.06,22127.7,-8306.85,0.950767,0.983437,0.996827,0.935504,0.941741,0.0689289,0.00195491,1
2776,864.009,2330.82,-1997.13,0.972825,1.02355,1.01009,1.02268,0.763613,-0.0525921,-0.0172155,1
2777,3516.86,11319,-5696.94,1.04524,1.02405,0.993198,0.984659,0.737146,0.0379478,0.00569504,1
2778,25561.7,-37053.8,93094.6,1.22285,0.982783,1.00115,1.01208,1.06779,-0.0337811,0.00118367,1
2779,214.824,545.56,-525.951,1.03106,0.963903,1.00487,1.01034,0.894436,-0.246234,-0.0143282,1
2780,1126.1,2990.32,-2444.25,0.817294,1.0095,0.99746,1.0006,1.08528,-0.18696,-0.00372187,1
2781,7215.04,-6808.3,20084.9,1.06328,1.02031,0.997481,0.963078,1.08049,-0.0380005,0.00325133,1
2782,80149.8,163855,-88939.8,0.746124,1.00995,0.998889,1.00365,1.00947,-0.00134884,-0.0125895,1
2783,825.319,-1859.27,2155.28,1.10053,1.01234,0.980674,0.954378,0.880227,0.238051,-0.00415065,1
2784,634.748,1688.87,-1509.06,0.86376,1.01817,0.994191,1.01689,1.00022,-0.0930987,-0.0135566,1
2785,1663.65,5193.39,-3777.92,0.723416,0.990335,1.01735,1.01989,0.54605,-0.0681233,-0.00644675,1
2786,562.729,-1312.48,1447.73,1.09031,0.985339,1.01147,0.995179,1.09987,0.237195,-0.00572907,1
2787,2558.58,-4168.94,6332.14,1.03714,0.987213,1.00574,0.983511,0.889293,0.0673199,-0.00424197,1
2788,3079.5,11387.8,-6541.79,1.34657,1.04026,0.994184,1.02,0.840375,-0.0174613,-0.0139445,1
2789,1686.17,5524.73,-4030.65,0.952531,1.00072,0.993194,0.962012,1.46544,0.129182,0.00348081,1
2790,1784.4,-3669.88,5177.49,0.918821,1.00055,0.994926,0.949162,1.19599,0.0989414,-0.00436164,1
2791,939.944,-2098.99,2500.03,0.804454,0.991376,0.97614,0.997379,1.1352,-0.106972,0.00785454,1
2792,1038.8,-2334.66,2828.92,1.34295,0.997226,0.998172,0.997526,0.911117,-0.0751063,0.00987671,1
2793,10279.4,47254.4,-13898.5,1.2801,0.997156,0.994864,0.975681,0.805803,0.0137023,0.00405122,1
2794,299.418,765.008,-726.521,1.3256,0.998873,0.994333,0.999227,0.740525,-0.36242,-0.00738203,1
2795,1948.33,6284.59,-4471.49,0.949979,0.980797,1.02075,1.03783,1.11631,-0.0884594,-0.00413209,1
2796,6527.79,21415.3,-7669,1.13453,1.00206,1.00745,1.00404,0.659361,0.0765174,0.0016412,1
2797,533.932,-1270.17,1396.08,1.06001,1.02152,0.98836,1.0035,1.44774,-0.124019,0.0121883,1
2798,3532.88,-4219.04,8172.03,1.09987,1.00807,1.01125,0.993355,1.35225,-0.0362362,0.00562204,1
2799,1891.3,-3733.55,5403.25,0.919709,1.02198,0.982159,1.00333,0.838746,0.037403,-0.0112147,1
2800,1051.94,2988.19,-2482.05,0.815705,0.968499,1.00727,0.975588,1.20166,0.17981,0.00385831,1
2801,6696.6,-4204.01,13120,1.12677,1.02043,1.00771,1.01493,0.795566,-0.104726,0.000865081,1
2802,1782.06,-3933.94,5490.27,0.909845,1.01657,0.992665,1.01222,1.0554,-0.0465998,0.00936596,1
2803,1930.59,5557.08,-4015.16,1.29941,0.996772,1.01224,1.05448,0.831656,0.113488,0.00331395,1
2804,1472.08,-2830.97,3689.67,1.39202,0.978824,0.995775,0.998369,0.883826,-0.0635429,0.00802776,1
2805,944.089,-2145.63,2541.5,1.0968,1.01298,0.993905,0.984976,0.950995,0.25598,-0.00330913,1
2806,108302,651.194,71772.2,1.25268,1.0009,0.992966,1.05024,0.825727,-0.0266864,0.00034112,1
2807,1035.44,-2367.92,2845.05,1.24774,1.00949,0.999256,0.977908,0.824417,0.0378297,-0.0199946,1
2808,2480.9,6441.53,-4127.23,0.86498,1.00568,0.999554,1.01885,0.998795,0.0818942,0.0036053,1
2809,79025.2,172303,-93322.6,0.894497,1.01517,0.990055,1.00321,1.33043,0.0642066,0.000277795,1
2810,49254,155558,-79591.9,1.18182,0.994046,1.00952,1.05835,1.16112,-0.0157619,-0.00165685,1
