run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
614,50735.4,nan,nan,0.67108,1.01048,0.987217,0.992509,0.854363,0.0142872,9.5135e-05,10.0537,0.893231,0.791013,0.921271,0
615,48704.4,nan,nan,1.06895,0.985956,0.984239,0.997857,0.786983,0.161241,-7.68087e-05,181.66,1.45183,3.79847,0.828141,0
616,45261.4,nan,nan,0.979295,0.976852,1.00473,0.97728,0.92627,-0.0929544,-0.0015417,137.922,1.29661,3.0657,0.850803,0
617,47360.4,nan,nan,1.06064,1.00847,0.999357,0.999321,0.847828,0.216174,0.000304916,397.656,2.26487,7.6629,0.859549,0
618,46340.1,nan,nan,1.4421,1.01144,0.99719,1.00966,1.23389,-0.194893,4.10213e-05,175.273,1.47782,3.67889,0.911943,0
619,50048.9,nan,nan,0.868511,1.02131,0.996865,1.04578,1.24665,-0.0107902,-6.10259e-05,8.84441,0.952912,0.765647,1.00368,0
620,45755,nan,nan,0.973296,0.954863,0.997312,1.01522,0.777278,0.166244,0.000823803,304.66,1.98699,6.04504,0.958726,0
621,48234.5,nan,nan,0.908696,0.98933,1.01324,1.02254,1.10215,0.137138,-0.000814282,147.111,1.35395,3.22745,0.859309,0
622,46618.5,nan,nan,0.860471,0.990122,0.989486,0.984427,0.668329,-0.15475,0.00120261,133.257,1.28866,2.89171,0.875098,0
623,52051.6,nan,nan,0.808863,1.01243,0.987959,0.964869,1.08459,0.193754,-0.000918279,134.123,1.33509,3.02458,0.863196,0
624,50919.6,nan,nan,0.849929,1.00327,0.989524,1.01576,0.685706,-0.0197829,0.00126437,38.7848,1.00188,1.28312,0.924664,0
625,42196.1,nan,nan,1.11431,1.00721,0.999712,0.997673,0.945088,-0.204094,-0.000387603,311.698,2.03475,6.21965,1.03811,0
626,44064.9,nan,nan,0.858917,0.984265,1.02013,1.0301,1.30186,0.0708897,0.00149275,185.407,1.38332,3.9605,0.74962,0
627,49419.9,nan,nan,1.12451,1.02097,1.00494,1.03649,1.39193,-0.0468592,0.000328497,27.2093,0.927586,1.05545,0.893236,0
628,23272.6,nan,nan,1.17076,0.998292,0.996122,1.05856,0.817399,-0.39953,0.00036739,878.689,3.4546,16.2399,0.906069,0
629,46474.9,nan,nan,0.939783,0.97083,1.00263,0.972125,0.911338,-0.0169891,0.001054,11.1661,0.839668,0.810968,0.847024,0
630,50686.2,nan,nan,1.02669,1.00644,0.995633,1.00427,0.668383,-0.149243,0.000411419,74.9791,1.22731,1.92773,1.03447,0
631,48609.4,nan,nan,1.13015,0.99278,0.984722,1.02381,1.17495,-0.0607573,-3.72168e-05,34.7178,0.907736,1.16826,0.838556,0
632,51818.5,nan,nan,0.701414,1.02008,0.997228,0.987166,0.819465,-0.0492225,-0.000389807,35.8751,0.991217,1.22607,0.925681,0
633,43945.6,nan,nan,1.00313,0.985667,0.993941,1.00735,0.706134,-0.068502,-0.00116738,112.151,1.17443,2.57253,0.830226,0
