run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
878,75678.7,114199,-37743,1.17092,1.01526,1.01175,1.02191,1.19305,0.23739,5.96453e-05,109.955,1.56115,2.44502,0.992637,1
879,86839.6,-16202.5,12197.5,0.899641,1.01173,1.00693,0.932146,1.15019,0.0192733,0.0003265,6.62492,0.842817,0.596146,1.02537,1
880,81132.5,-135194,39365.1,1.06062,1.02703,1.00912,0.987051,0.682705,-0.200502,-0.000273954,37.7394,1.0517,1.14281,0.988427,1
881,87706,-80377.8,17047.3,1.27063,1.02076,1.01151,0.979268,1.1832,-0.130567,0.00154259,12.8969,0.875283,0.717059,0.993929,1
882,59160.7,-154896,24805.7,1.10986,1.01052,1.00195,0.965545,1.02204,-0.19134,-0.00075626,100.336,1.5211,2.26752,1.15147,1
883,98051.1,-4641.06,-4808.54,1.24806,1.02007,0.984334,0.93513,0.959901,0.00138197,0.00106425,4.3517,0.829244,0.569575,1.04615,1
884,87432.2,62067.9,-17813.9,0.814978,1.00932,1.00361,1.03659,0.972976,0.139456,-0.00077481,33.749,1.06115,1.07674,1.04952,1
885,91116.3,-70726.5,15608,0.977124,1.00479,1.01159,1.02703,0.683813,-0.203929,0.00269752,6.37403,0.80602,0.603334,0.964391,1
886,80869.3,-52640.5,-455.306,1.19957,0.99586,1.00119,1.00413,1.33257,-0.00906696,0.000146922,3.92322,0.779424,0.551159,0.936528,1
887,79353.1,-136242,-19659.3,1.21912,1.02964,0.993488,0.956413,1.15356,0.0339723,-0.0032154,24.5764,0.953666,0.925753,0.972568,1
888,105694,-5058.66,-25678.6,1.25223,1.01908,0.984112,0.966582,1.1395,0.0613685,7.73639e-05,2.65537,0.906103,0.577573,1.20224,1
889,69710.1,-127046,-1425.72,1.13173,0.988885,1.00339,0.960046,1.17829,-0.162678,0.00118752,45.1781,1.10404,1.28634,0.996174,1
890,88674.1,10484.4,-5930.38,1.16359,0.989992,1.00332,0.983991,0.794063,-0.0294833,0.00176053,2.2948,0.73227,0.537827,0.879382,1
891,64896.9,-165847,43606,0.757096,1.04129,0.998859,1.00886,0.871922,-0.25068,7.33774e-05,94.9511,1.42535,2.1388,1.0334,1
892,64441.7,138822,-1505.38,0.731758,0.991882,0.988968,0.981069,0.854702,0.290122,0.0010604,173.25,1.91591,3.60354,0.998683,1
893,84922.9,-44038.4,-25436.8,1.33463,0.980951,1.00778,0.991326,0.577606,0.0379112,-0.00127999,4.92222,0.832442,0.564553,1.02683,1
894,92260.2,3716.72,-14798,1.0249,1.00867,0.988373,1.02635,1.18528,0.118166,-0.00137079,9.33851,0.898303,0.666128,1.08111,1
895,95875.8,-20102.6,2438.27,1.10021,1.01665,0.995254,0.983048,0.500153,-0.00753904,0.000481022,4.40109,0.802161,0.561744,0.999022,1
896,73397.6,103022,-25099,1.22138,0.970727,1.00562,0.997611,1.23997,0.213484,0.000534198,82.5076,1.38381,1.94832,1.03179,1
897,87889,61888.7,-27719.8,0.935014,0.979644,1.0033,0.976736,0.992873,0.249414,-0.00155687,26.1614,0.956247,0.952693,0.958918,1
898,93456.2,-69258.3,5651.47,1.32091,1.0135,0.991426,1.04215,1.07937,-0.057944,4.79035e-05,2.44229,0.766659,0.51784,0.96539,1
899,86350.7,-24229,4909.66,1.11767,0.976641,1.01395,1.0205,0.984481,0.0765487,-0.000905296,2.61357,0.762783,0.527231,0.936824,1
900,81280,-52917.7,-12190.9,0.574387,0.969993,1.01726,0.982694,0.886836,0.0348877,-0.000743802,3.82926,0.801871,0.550677,0.976296,1
901,62151.9,-129854,20706.2,1.09169,0.961404,0.996539,1.02283,0.956661,-0.163541,-0.000789759,71.3022,1.20755,1.73555,0.931628,1
902,71000.2,-113458,17431.6,0.819583,0.975191,1.00425,0.975064,1.0958,-0.0702855,-0.000371274,29.8891,0.967538,0.999765,0.948085,1
903,87916.5,-38567.8,1519.55,1.23354,1.002,1.02068,0.979931,0.580341,-0.0105477,3.63368e-05,3.2448,0.816454,0.530248,1.03165,1
904,77397.1,104363,-18898.4,0.761106,0.997323,0.988594,0.999559,1.02459,0.178063,0.000937668,95.3446,1.45714,2.17085,0.987145,1
