run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
802,89667.5,-37472.2,-4271.23,1.06552,0.980183,1.00489,1.07211,1.01951,0.038383,-0.000810955,3.53129,0.813341,0.531833,1.02932,1
803,77027,-94964.9,14354.9,0.607737,0.997135,0.99905,0.988403,0.647387,-0.0815617,-0.000563984,4.30211,0.797638,0.542829,0.964696,1
804,59691.7,-158872,18390.1,1.08969,1.07207,1.00134,1.01828,1.13007,-0.292982,-0.000491835,18.6056,0.91159,0.764454,0.984989,1
805,97506.7,-2807.2,-14340.9,0.963647,0.997753,0.994113,0.979946,1.00922,0.0875102,-0.000172877,4.6619,0.817825,0.559711,1.03306,1
806,85689.9,46240.6,-20105.6,1.04285,0.975557,0.999792,0.997775,0.851955,0.117218,0.000430615,6.35546,0.79513,0.566148,0.96266,1
807,86906,32656.9,-10905.8,0.998176,0.990212,0.997841,1.04458,1.07723,0.0754489,0.000895319,5.24745,0.801646,0.556887,0.983016,1
808,86558,34010.1,-19249.1,1.24077,0.998639,1.02363,0.984439,1.1594,0.145253,0.000818423,5.47519,0.821576,0.561897,1.01368,1
809,80605.3,59574,-22036.6,0.848774,0.99792,1.01634,1.04035,1.09324,0.272215,0.000204671,9.30374,0.787124,0.632341,0.893827,1
810,86589.5,-18208.7,-13164.6,0.824873,0.99761,1.00642,0.963986,0.460797,0.0620498,-0.000870095,3.30227,0.776106,0.531423,0.956914,1
811,17.98,-36.0184,6.55175,0.653632,1.02052,1.00386,0.938902,0.831222,0.0323429,0.0010532,59.5746,0.670137,1.76921,0.464061,1
812,96188.8,36655.1,-17522.7,1.39259,1.01973,0.992581,1.00146,1.28983,0.141435,0.000295883,4.40427,0.770556,0.546797,0.954156,1
813,81085.7,5931.04,-11485.5,0.670404,0.99543,0.997578,0.967757,0.88864,0.0958437,-0.000586753,3.29419,0.735011,0.529949,0.876656,1
814,99239.1,20042.7,-20004.9,1.0011,1.02058,1.00231,0.992642,0.822482,0.159919,0.000733781,4.69709,0.830634,0.556487,1.06278,1
815,91416.1,-8624.04,-5718.72,0.956123,1.02025,0.996282,1.03998,0.843325,-0.0107527,0.000890856,3.68881,0.842708,0.536399,1.0822,1
816,93944.5,27401.2,-13843.2,0.896708,1.00717,0.999961,0.972926,1.02538,0.0714603,0.00100333,3.89793,0.775203,0.539858,0.963875,1
817,94372.4,-11700.5,4768.09,1.16248,1.00822,0.998917,1.03583,1.15249,0.0143295,0.000861462,9.1337,0.847458,0.625397,1.02666,1
818,88633.1,12003,-2710.48,0.764485,1.03317,0.997347,1.01443,0.98308,-0.110081,0.00292304,4.01939,0.889515,0.545976,1.1489,1
819,93646.6,31791.1,-13025.9,1.06652,0.975488,0.985107,0.983792,1.05176,0.15323,0.000161136,5.11534,0.785942,0.556115,0.969965,1
820,92669.9,23565.6,1739.2,1.29375,1.02678,0.996929,1.05406,0.694989,0.0920409,0.00120488,4.56502,0.799362,0.558774,0.988893,1
821,88194.9,-100924,26943.3,0.707341,0.995065,1.0029,0.928718,1.11302,-0.236943,0.00101191,4.86898,0.787376,0.557354,0.961364,1
822,78750.9,-141369,21182.6,1.03581,1.01442,0.990605,0.931584,1.36148,-0.279902,-0.000105199,11.1382,0.821832,0.66243,0.9291,1
823,89135.2,-58973.7,-6854.41,0.553944,1.02261,1.02261,0.975135,1.15266,0.030009,-0.00162607,3.12107,0.721331,0.515992,0.877681,1
824,84974.2,-59578.9,-16779.3,1.04125,0.992603,1.00877,1.02291,1.01465,0.0397769,-0.00180418,2.63546,0.78845,0.509844,0.990928,1
825,82843.9,-10930.6,-3409.38,1.35251,0.987053,0.993185,0.968355,0.825533,0.0227002,7.91195e-05,4.12653,0.894776,0.545729,1.1412,1
826,102520,-47803,-6435.95,0.802644,1.02649,0.980781,0.98772,0.710356,0.0603088,-0.0013594,2.09739,0.75146,0.518743,0.955096,1
827,75523.6,-116841,14282.6,0.856358,0.998789,1.00058,0.966554,0.970458,-0.195332,-0.000766297,10.5232,0.846059,0.635038,0.981978,1
828,17.0034,-35.0762,-7.82743,1.03141,0.968017,0.982491,1.03083,1.12813,0.0348888,0.00190124,38.696,1.17938,1.30833,1.1552,1
829,80765.1,3807.56,-12887.1,0.93204,1.00934,1.00671,0.945067,0.634606,0.0474736,-0.000361508,4.38089,0.789646,0.543942,0.959845,1
830,31.1557,-54.3672,11.9692,0.967392,1.01769,0.97929,0.994935,1.04288,0.0961349,-0.000688864,12.6832,0.867087,0.919452,0.857113,1
831,12.8925,30.481,12.6365,0.935589,1.04912,0.980487,0.947802,1.19904,-0.221111,-0.0024737,247.389,1.49328,6.22329,0.642944,1
832,27.7531,-68.4499,6.59264,0.902682,0.997437,1.00614,0.996024,1.15638,-0.0291151,-0.000636258,13.0076,1.02821,0.989584,1.03529,1
833,71399.6,-86121.6,3953.69,1.05965,0.981542,1.00519,0.977533,1.02444,-0.0775266,-0.000638658,5.60275,0.782855,0.575165,0.908829,1
834,81851,27097.2,-12287.4,0.884948,0.961601,0.99373,1.04087,1.19662,0.0323079,0.00112066,5.09704,0.889824,0.563653,1.11742,1
835,88207,-50725.9,18576.1,0.995972,1.01327,1.01861,1.01869,0.797866,-0.120743,0.00150794,2.90807,0.818055,0.539246,1.02874,1
836,84872.6,-89272.8,4900.66,1.09871,1.03763,0.977521,1.06187,1.0175,-0.0963369,-8.26858e-05,5.34222,0.819523,0.569955,1.0023,1
837,78197.6,51162.7,-26497.2,1.00132,1.00054,1.02088,1.01706,1.6301,0.339063,-0.00191474,10.4186,0.852484,0.642255,0.992602,1
838,87691,-37151.1,1705.07,1.03686,0.980979,1.00004,1.00631,0.913825,-0.0441505,5.33065e-05,3.30827,0.765004,0.52768,0.942966,1
839,84041.8,-60002.3,7991.37,1.10757,0.981464,0.999429,0.973469,1.10352,-0.0414616,-0.000343666,3.50309,0.816644,0.552571,1.00598,1
840,84503.8,-24677.3,14432.4,1.04976,0.979012,1.005,1.00756,0.927321,-0.00928561,0.000258474,3.65476,0.83783,0.523296,1.06518,1
841,97750.3,-35379.2,4159.63,1.0572,0.99136,0.981083,0.968561,0.975238,-0.147118,0.00207595,3.02567,0.785304,0.524921,1.00307,1
842,89483.7,2721.99,-5951.88,0.751403,0.979848,0.999022,0.981919,0.851147,0.00363352,0.000546077,2.8652,0.799416,0.520844,1.01244,1
843,18.3815,34.3827,11.0901,1.06734,0.990384,0.987917,0.912195,0.961945,-0.140813,2.3435e-05,39.6762,1.26631,1.45597,1.23064,1
844,78025.9,-77592.1,14883.2,0.720771,0.971352,1.01487,1.02627,0.734692,-0.195135,0.000258105,5.39408,0.804886,0.561213,0.967095,1
845,15.3112,-27.5533,0.230837,0.94026,0.969466,1.00562,1.00865,1.07302,0.0953875,0.00225959,103.567,1.01159,2.79928,0.690203,1
846,13.2092,-24.9211,-5.30368,0.649996,0.990253,1.00103,1.01396,0.846097,0.268922,0.000803391,161.582,1.10169,4.15176,0.55704,1
847,90713.4,24689.3,-5403.94,1.21965,0.975123,1.00538,0.988179,1.22155,0.0787266,0.00153141,6.85615,0.780083,0.586718,0.930174,1
848,12.8866,-29.0371,-1.86452,0.952648,0.99469,1.00205,1.02313,1.59313,0.0955903,0.00257454,106.341,0.977378,2.66995,0.663939,1
849,89141.1,54037.5,-13785.4,1.00891,1.00026,1.00138,0.98637,0.784912,0.124079,0.00169742,8.2797,0.738454,0.593922,0.848584,1
850,81888.6,-14847.9,-13221.9,1.2774,0.991765,1.00847,0.940667,0.977198,0.110335,-0.00150007,2.96597,0.746964,0.527847,0.900546,1
851,75496.8,-95358.2,-1150.11,0.927018,0.979828,1.00686,0.961753,0.759635,-0.00377068,-0.00187011,4.48935,0.882038,0.56078,1.08853,1
852,94207.3,-16757.4,4341.46,0.788631,1.00875,1.00093,0.946888,0.98673,-0.0396642,0.00129779,4.22183,0.792861,0.539435,0.997416,1
853,90175.8,-69475.8,5068.86,0.957179,1.01636,0.992342,1.00807,0.702812,0.0150722,-0.000376931,4.14403,0.733611,0.523148,0.895707,1
854,93271.3,-58959.1,10730.4,1.10842,1.01312,1.0086,0.981492,1.23918,-0.0248797,-0.000881705,2.82161,0.761067,0.532979,0.942944,1
855,79480.8,-22686,596.219,1.09332,0.966218,1.01363,1.03739,0.875428,0.0624401,-0.000785445,3.14025,0.770522,0.527161,0.935901,1
856,82814.8,48438.3,-2736.1,1.1331,0.997783,0.987971,1.02155,1.21879,0.0778105,0.000334831,5.18111,0.752979,0.553016,0.894665,1
857,98838.1,-38035.7,-4197.69,0.794181,1.01688,0.9971,1.03421,1.04319,0.0100853,-0.000675714,2.91202,0.737747,0.528314,0.914819,1
