run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,impact_valid
98,5.11726,-18.177,-1.18738,1.04626,0.995993,1.00407,0.914565,0.904361,0.155814,0.00110799,0,0,1
99,41.842,-150.85,-13.9752,0.813808,0.996188,1.01209,0.985678,0.972351,0.0389843,-0.000206317,0,0,1
100,14.9221,-53.4631,-4.26418,1.14369,1.02249,1.00902,1.06151,1.36542,0.0830173,-9.81711e-05,0,0,1
101,217.092,-829.189,-45.7737,1.18743,0.997983,1.01011,0.978433,0.976966,0.0453889,-0.000657781,0,0,1
102,9.50964,34.2131,3.37223,1.13843,1.01135,1.00144,0.993165,0.812296,-0.156457,0.000587674,0,0,1
103,5.72225,-20.33,-1.24358,0.907532,0.996455,1.00086,0.99996,0.635689,0.134262,0.00109023,0,0,1
104,22.4752,80.2422,-0.698546,0.976684,1.04607,0.998455,0.987969,0.895898,0.00577073,-0.00100824,0,0,1
105,3.00348,10.7171,1.177,0.93143,1.01153,1.0098,1.02025,1.02227,-0.391237,0.000113787,0,0,1
106,10.4873,37.6267,3.33329,0.866577,0.994591,1.01328,0.982902,0.915746,-0.125817,0.000326644,0,0,1
107,8.47446,30.2172,2.5376,1.11278,0.979355,1.01404,1.02901,1.36113,-0.138568,0.000153477,0,0,1
108,6.1239,-21.9433,-2.12128,1.00302,0.993552,1.00402,1.04921,1.08899,0.21499,-0.000503176,0,0,1
109,8.20643,-29.4231,-2.72557,0.768916,1.00732,1.01182,1.05267,0.921244,0.163254,-0.000419711,0,0,1
110,93.9259,-358.658,124.038,0.825615,1.05136,1.00618,1.02577,1.03296,0.110521,-0.00183157,0,0,1
111,10.5608,37.6741,1.90135,1.04922,1.02875,0.989265,1.0228,1.16728,-0.0678181,-0.000757673,0,0,1
112,7.07146,25.1231,0.559389,0.974162,1.02269,1.01018,0.966164,0.617176,-0.0402304,-0.00208248,0,0,1
113,20.2111,-74.6863,-9.94848,1.06969,0.999582,1.01635,1.03034,0.822574,0.141525,-0.00142679,0,0,1
114,2.66711,9.46793,0.87646,1.04473,1.00713,0.9957,1.01437,1.16572,-0.345038,-0.00157613,0,0,1
115,124.136,815.368,-134.078,1.13255,0.997825,1.00456,1.0262,0.465721,-0.0906728,0.00154035,0,0,1
116,2.47596,8.79683,1.06537,1.01717,0.970682,1.01819,0.95145,0.922465,-0.48673,0.000718715,0,0,1
117,12.3813,45.2899,5.68822,0.960831,0.997405,0.998081,0.928532,0.991766,-0.182262,0.00149294,0,0,1
118,33.8452,-124.342,-15.1066,1.02681,1.0083,0.999302,0.979075,1.25999,0.0740029,-0.000664781,0,0,1
119,29.596,105.449,0.434398,1.16683,1.00136,0.984776,1.00738,1.1269,-0.00209218,-0.000635456,0,0,1
120,10.8557,38.6011,1.69426,0.98513,0.994915,0.995667,0.985672,1.26577,-0.0565356,-0.000820706,0,0,1
121,6.3972,-22.9003,-2.13009,0.754761,1.01438,1.00125,1.04154,0.709134,0.198084,-0.000279905,0,0,1
122,8.91312,31.6845,1.76709,1.432,0.965432,1.01537,0.998033,0.571491,-0.0842156,-0.000614035,0,0,1
123,17.6893,-62.9004,-0.223759,0.77822,1.02059,1.0027,0.978521,0.965431,0.00299065,0.00106694,0,0,1
124,2.84021,-10.1574,-1.11252,0.9172,1.03101,1.00905,0.924648,1.24591,0.399349,0.000256261,0,0,1
125,24.4698,-86.8564,-1.15679,0.931591,0.969069,1.02075,0.95811,0.627835,0.00794716,0.000608673,0,0,1
126,138.825,-542.636,12.8634,1.0369,0.986276,1.00619,1.03086,1.23948,0.0937567,-0.00140948,0,0,1
127,5.57916,-20.1399,-2.44767,0.598936,0.999639,0.994715,0.951226,1.31787,0.30727,-0.00166065,0,0,1
128,3.49252,12.3747,0.811664,0.890783,0.992759,0.997109,1.0046,0.934433,-0.20254,-0.00210864,0,0,1
129,4.46561,15.9238,1.35287,0.755228,1.02065,1.00643,1.02222,1.08436,-0.22837,-0.000533109,0,0,1
130,137.179,-524.761,-30.2617,0.845206,0.99511,0.983621,1.03924,0.91105,0.0737795,-0.00106795,0,0,1
131,57.3941,214.263,-27.5815,1.04224,1.01578,0.988008,1.01683,0.678003,0.050017,-0.00125492,0,0,1
132,7.64778,-27.3417,-2.25873,1.00692,1.00499,1.00025,0.971975,0.827532,0.15138,-1.95437e-05,0,0,1
133,3.66849,13.038,1.07722,0.919583,0.993178,1.0013,1.00099,1.23983,-0.252153,-0.000983818,0,0,1
134,4.87998,17.3632,1.57376,1.03197,0.97748,1.01204,0.947434,0.697026,-0.229527,6.13563e-05,0,0,1
135,7.82046,28.0205,2.5158,0.974721,0.988649,0.998176,0.959739,1.22061,-0.163424,0.000310438,0,0,1
136,57.2114,-210.941,26.0772,1.02803,0.993694,1.01696,0.970706,0.952814,-0.0465646,0.00117332,0,0,1
137,16.8534,60.56,4.67031,1.08559,1.02106,0.989493,1.00418,0.948541,-0.0721196,3.60404e-05,0,0,1
138,14.8322,53.0128,3.35167,1.02108,1.01221,1.00239,1.01567,1.51692,-0.0640699,-0.000226122,0,0,1
139,52.3809,-186.9,-9.13917,0.847741,1.02404,0.996756,0.94365,0.775584,0.0152507,0.000119582,0,0,1
140,8.68745,31.4363,3.68844,0.558394,1.00184,1.01172,0.998836,1.13951,-0.211897,0.00136339,0,0,1
141,15.2596,54.6606,4.10907,0.698213,1.0061,0.992181,0.96137,1.2292,-0.0763136,6.6499e-06,0,0,1
142,8.47982,30.2747,2.17139,1.02735,1.0153,1.00108,1.01323,1.04177,-0.118253,-0.000307963,0,0,1
143,6.91429,24.6207,1.93611,1.11136,0.984168,1.00814,1.00258,0.73659,-0.151425,-0.000158575,0,0,1
144,40.759,153.088,21.2072,0.773567,0.95862,0.98835,1.01049,0.970891,-0.0967608,0.00114437,0,0,1
145,20.362,-72.7532,-3.08805,1.13673,1.03958,0.993747,1.03083,1.21832,0.0321583,0.000447482,0,0,1
146,19.3656,68.9315,0.410405,0.479841,1.02104,1.00167,1.00552,0.942186,-0.00449756,-0.000945704,0,0,1
147,6.44542,22.8379,1.22795,1.61529,0.987611,1.00496,0.988184,0.802034,-0.105654,-0.00114985,0,0,1
148,5.76278,20.4233,0.981608,0.852309,0.983483,0.98837,0.947651,0.827882,-0.103278,-0.00160074,0,0,1
149,5.99624,-21.3162,-1.07886,1.11554,1.00706,0.986358,0.970173,1.17197,0.107566,0.0014854,0,0,1
150,17.9959,-64.8983,-6.42256,1.16345,0.988571,1.00566,1.02821,0.739998,0.0927973,-0.000512158,0,0,1
151,932.131,-3609.46,186.269,0.812852,1.01165,1.01279,1.06609,0.756337,0.015686,-0.000238778,0,0,1
152,8.88429,31.4942,0.611402,0.945087,1.00278,1.00795,1.05213,1.113,-0.0288012,-0.0016748,0,0,1
153,4.53873,16.1311,1.05286,1.21206,0.99775,0.994447,1.05641,0.901129,-0.170422,-0.00140487,0,0,1
154,35.3755,-127.704,-10.8384,1.23882,1.02435,0.995544,0.973849,0.897727,0.041582,-0.000141716,0,0,1
155,8.39868,-29.7832,-1.70238,0.578641,0.977576,1.0113,0.994186,0.694141,0.091533,0.000658624,0,0,1
156,9.45646,33.6988,2.62452,1.28131,0.980819,1.01007,1.0356,0.679839,-0.116333,-5.83416e-06,0,0,1
157,322.744,-1327.29,-240.661,1.40885,1.02326,0.99715,1.03542,1.02871,-0.0577206,0.00111636,0,0,1
158,10.2897,-36.7342,-2.51583,1.1945,1.03124,1.0112,1.00027,1.12559,0.0956661,0.000286244,0,0,1
159,3.01734,-10.6895,-0.700855,1.25259,1.00629,1.00582,1.03351,1.02961,0.221487,0.00268114,0,0,1
160,94.9248,358.153,-48.9211,1.4158,0.987926,0.995011,1.02101,0.970831,0.040229,-0.000937805,0,0,1
161,6.06495,-21.4606,-1.12951,0.8838,0.989206,1.02407,0.956421,0.914187,0.10767,0.00122553,0,0,1
162,6.69151,23.7707,0.961246,1.25725,1.00574,0.998824,0.99758,0.835758,-0.0773855,-0.00159994,0,0,1
163,5.70043,20.234,0.708402,1.00567,1.01062,0.982698,1.00534,0.924459,-0.0762455,-0.0022228,0,0,1
164,18.4357,65.3438,-0.328137,0.858845,0.975001,0.99287,0.972323,0.893985,0.00389837,-0.00110531,0,0,1
165,16.1911,-57.6147,-3.6126,0.855409,0.96406,1.00345,1.00688,0.885115,0.0579736,0.000157343,0,0,1
166,4.00948,14.3283,1.3662,0.715741,1.02134,0.996858,0.997655,0.506761,-0.279687,-0.000244825,0,0,1
167,19.4289,-69.4174,-4.30669,0.878938,0.995769,0.983273,1.00083,1.12175,0.0502978,0.000157943,0,0,1
168,16.2013,-58.6018,-6.35067,1.15419,0.969511,0.981578,1.0014,0.964646,0.117154,-0.000786256,0,0,1
169,5.35413,-19.0783,-1.56293,1.28689,0.984578,0.997759,1.02198,0.863361,0.19402,0.000287676,0,0,1
170,12.4427,-44.34,-3.07814,1.16133,0.951739,0.998402,0.991869,1.22082,0.0820175,8.50112e-05,0,0,1
171,6.8159,-24.2875,-1.6688,0.879062,1.01197,0.999879,0.966066,1.21793,0.134413,0.00059569,0,0,1
172,13.7627,-48.8377,-2.29659,0.873979,0.983679,0.998424,0.967469,1.21036,0.0493113,0.000544135,0,0,1
173,5.00474,17.715,0.979017,0.982393,0.987777,1.00462,0.943426,1.26825,-0.131441,-0.0015672,0,0,1
174,42.207,-157.744,-21.7827,1.14041,1.01578,1.00489,1.04026,0.797252,0.0896151,-0.00102554,0,0,1
175,8.50353,30.2167,1.20092,1.00981,1.00978,1.0113,1.04131,0.839096,-0.0622123,-0.00120586,0,0,1
176,48.4906,-171.866,-1.05911,0.957885,0.988601,0.996676,1.01761,1.201,0.00199695,0.00036343,0,0,1
177,214.787,823.449,61.3212,1.10003,1.00431,0.999084,0.971062,0.987967,-0.0435006,0.000623205,0,0,1
178,21.2681,75.6792,1.95957,1.07243,1.003,1.00265,1.00629,1.03654,-0.0179164,-0.000604065,0,0,1
179,6.12156,21.8212,1.48091,0.988304,1.01805,0.987231,0.968552,0.921499,-0.14366,-0.000839199,0,0,1
180,12.6053,44.6913,1.63016,1.22649,0.985119,0.998381,1.03584,1.17419,-0.0405608,-0.0008231,0,0,1
181,4.70172,-16.7122,-1.0384,0.605287,1.01421,1.00908,0.949988,1.07957,0.15722,0.00146404,0,0,1
182,103.586,373.011,-30.1566,0.931309,0.971875,1.00851,0.986314,0.821668,0.0126263,-0.00040526,0,0,1
183,6.13536,-22.0148,-2.28511,1.32727,1.00224,0.996797,0.999375,0.928995,0.234325,-0.00077088,0,0,1
184,6.12769,21.8053,1.79594,1.03794,0.973122,0.997805,0.976221,1.31836,-0.175635,-0.000108785,0,0,1
185,5.67629,-20.2968,-1.85884,0.793059,1.01682,1.00709,1.00774,0.992908,0.21155,-0.000135739,0,0,1
186,10.8334,-38.5036,-0.586389,0.668811,1.03469,0.995711,1.01933,0.801545,0.0196456,0.00152931,0,0,1
187,5.46827,-19.4532,-1.34834,0.984038,0.989592,0.990121,1.00551,0.82337,0.159867,0.000842005,0,0,1
188,6.48612,23.1598,1.91495,0.894005,0.989223,1.00192,1.0636,0.750412,-0.170105,-6.56328e-05,0,0,1
189,132.45,-505.85,44.9143,0.871931,0.987949,1.00189,0.990817,0.720379,-0.060909,0.00126932,0,0,1
190,97.7471,-347.337,-0.355459,1.10661,1.00655,0.997254,1.01479,1.10357,0.000184963,0.000197834,0,0,1
191,6.86607,24.4464,1.47258,0.92182,1.03,1.00521,1.01266,1.14609,-0.114872,-0.000934247,0,0,1
192,14.236,-51.1447,-4.63705,0.759032,1.01638,1.00972,1.03168,0.682459,0.10088,-0.000343335,0,0,1
193,11.599,41.3032,1.59927,0.980118,1.00329,0.984876,1.00233,1.20469,-0.0476533,-0.000896503,0,0,1
194,163.822,-937.815,-186.426,1.09532,1.01173,1.01248,1.02153,0.924493,0.0931318,-0.00155835,0,0,1
195,201.179,1332.55,-892.323,1.06786,1.01302,0.98505,0.984664,1.05439,-0.0546633,0.000892166,0,0,1
196,23.3225,-82.5703,-1.05718,1.37948,0.986242,1.00019,0.995142,0.946901,0.00816166,0.000680099,0,0,1
197,38.3961,137.977,10.3227,1.11162,0.990985,0.9845,0.987988,0.940355,-0.0323649,4.03273e-05,0,0,1
198,8.27986,29.429,2.06377,0.827618,0.961722,0.985749,1.03203,1.036,-0.116632,-0.000307935,0,0,1
199,146.261,1416.31,469.347,0.911198,0.988298,0.997859,0.994385,0.866846,0.0748882,-0.00132061,0,0,1
200,20.7418,73.7443,1.56603,0.84851,0.991638,0.988805,0.972613,0.975556,-0.0150737,-0.000682795,0,0,1
201,4.88252,17.5123,1.77977,0.922951,1.01793,0.998545,0.975828,0.986515,-0.265191,0.000422779,0,0,1
202,12.9983,-46.1971,-2.83696,1.23112,0.984431,1.00826,0.969922,1.07623,0.0685277,0.00028202,0,0,1
203,50.9147,-185.875,21.4711,1.45075,0.985821,1.01133,1.00616,1.25963,-0.0449201,0.00118135,0,0,1
204,4.22624,15.0186,1.34591,1.23162,0.958563,1.00507,0.978105,0.861993,-0.251829,-0.000105211,0,0,1
205,206.166,-730.141,13.6773,0.788246,1.01671,1.00399,1.02801,0.671219,-0.00156462,0.000122744,0,0,1
206,3.64673,12.9369,0.818453,0.911608,0.989878,0.983452,0.997388,1.23467,-0.191309,-0.00214521,0,0,1
207,43.7053,159.258,17.877,1.39735,0.991099,0.997567,1.00049,0.586948,-0.0485021,0.000376397,0,0,1
208,84.5709,312.485,-38.0561,0.943443,1.00061,1.01054,0.939826,0.932271,0.0298694,-0.000766864,0,0,1
209,7.95635,-28.3378,-1.68351,0.863286,1.02288,0.99974,1.00178,1.0093,0.101619,0.000762431,0,0,1
210,221.94,-845.228,90.3643,1.23432,0.987911,0.995443,0.998646,0.943076,-0.0317638,0.000672875,0,0,1
211,21.9008,80.6355,10.8308,0.886251,0.953442,0.992408,0.961275,1.33874,-0.133179,0.00137111,0,0,1
212,6.35565,22.6405,1.62832,1.12632,0.984211,0.986717,0.958119,1.57406,-0.148742,-0.000530424,0,0,1
213,209.675,889.044,196.816,1.52381,1.00671,1.00406,0.959223,1.1242,0.0904523,-0.00174114,0,0,1
214,4.84313,-17.183,-1.33254,0.846288,0.965086,1.00623,0.957911,1.04696,0.194925,0.000522022,0,0,1
215,6.80435,-24.2468,-1.73756,1.18634,0.993774,0.997448,1.00428,0.879411,0.140626,0.000452738,0,0,1
216,6.0691,-21.6376,-1.68065,0.859584,0.992159,1.00009,0.959967,1.24952,0.167237,0.000332518,0,0,1
217,7.62883,27.2362,1.99764,0.888206,1.00382,0.992641,0.978875,1.24487,-0.132502,-0.000325567,0,0,1
218,9.50404,-33.7538,-0.390887,1.37307,1.0243,0.986562,0.973578,0.816141,0.0167456,0.00184639,0,0,1
219,7.64143,27.5194,2.97161,1.10452,0.988123,0.993256,0.985032,0.736524,-0.210803,0.00102358,0,0,1
220,12.5054,-44.3623,-0.108096,1.10709,0.999428,0.998865,0.966879,0.949501,0.0027435,0.00150966,0,0,1
221,24.096,86.8831,8.15648,0.806643,0.999376,0.996299,0.990916,0.9609,-0.0659463,0.000309249,0,0,1
222,48.6268,-185.078,-20.2757,1.1231,0.998245,0.995133,1.05344,0.541652,0.149857,-0.00206076,0,0,1
223,6.35866,22.6786,1.95994,1.12688,0.983599,1.0097,1.03099,1.42664,-0.179855,8.76795e-05,0,0,1
224,12.2482,43.9578,3.77132,1.24363,0.995867,0.999107,0.957367,0.843919,-0.107596,0.000247017,0,0,1
225,7.83664,27.8853,1.99464,0.736985,0.980335,0.997966,1.0212,1.05368,-0.124033,-0.000321867,0,0,1
