run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,impact_valid
701,109522,2040.35,150.436,0.976893,0.971127,0.99534,0.998756,1.05604,1
702,117005,1958.5,150.288,0.911209,1.00439,0.99602,1.04659,1.24429,1
703,113074,1781.11,131.005,0.844481,0.988356,1.00086,0.998443,0.780608,1
704,116785,2813.14,201.661,1.31269,0.996469,0.997037,0.971522,1.00506,1
705,119113,2641.27,196.794,1.21411,1.0031,0.988665,1.01268,0.757984,1
706,113359,1500.15,108.65,0.713469,0.991788,1.00643,0.982818,0.944864,1
707,116138,2048.88,159.112,0.950287,0.996121,0.987277,1.05835,1.10515,1
708,122925,2569.76,187.068,1.17506,1.0227,0.999924,0.990735,0.997754,1
709,114459,1714.91,131.188,0.804327,0.993023,0.993941,1.0416,0.655295,1
710,118486,2514.46,183.042,1.17443,1.0126,1.00792,0.990622,0.809292,1
